時間,設備,值
2024-10-19 09:5854,SA-35/LED_LEVEL,2
2024-10-19 10:0804,SA-35/LED_LEVEL,2
2024-10-19 10:1643,SA-35/LED_LEVEL,1
2024-10-19 10:1643,SA-35/LED_LEVEL,3
2024-10-19 10:1644,SA-35/LED_LEVEL,4
2024-10-19 10:1650,SA-35/LED_LEVEL,5
2024-10-19 10:1650,SA-35/LED_LEVEL,4
2024-10-19 10:1651,SA-35/LED_LEVEL,5
2024-10-19 10:1700,SA-35/LED_LEVEL,4
2024-10-19 10:1702,SA-35/LED_LEVEL,5
2024-10-19 10:3544,SA-35/LED_LEVEL,5
2024-10-19 10:3547,SA-35/LED_LEVEL,3
2024-10-19 10:3551,SA-35/LED_LEVEL,4
2024-10-19 10:4154,SA-35/LED_LEVEL,3
2024-10-19 10:4155,SA-35/LED_LEVEL,4
2024-10-19 10:5806,SA-35/LED_LEVEL,3
2024-10-19 10:5806,SA-35/LED_LEVEL,4
2024-10-19 11:0233,SA-35/LED_LEVEL,3
